"Activity, Exercise or Sport ",Calories per kg per min
"Cycling, mountain bike, bmx",0.141824694
"Cycling, <10 mph, leisure bicycling",0.066686458
"Cycling, >20 mph, racing",0.26690917
"Cycling, 10-11.9 mph, light",0.100033802
"Cycling, 12-13.9 mph, moderate",0.13347699
"Cycling, 14-15.9 mph, vigorous",0.166824335
"Cycling, 16-19 mph, very fast, racing",0.200163448
Unicycling,0.083415279
"Stationary cycling, very light",0.050016901
"Stationary cycling, light",0.091756759
"Stationary cycling, moderate",0.116762624
"Stationary cycling, vigorous",0.175172039
"Stationary cycling, very vigorous",0.208570417
"Circuit training, minimal rest",0.13347699
"Weight lifting, body building, vigorous",0.100033802
"Weight lifting, light workout",0.050016901
Health club exercise,0.091756759
Stair machine,0.150095513
"Rowing machine, light",0.058409415
"Rowing machine, moderate",0.116762624
"Rowing machine, vigorous",0.141824694
"Rowing machine, very vigorous",0.200163448
Ski machine,0.116762624
"Aerobics, low impact",0.083415279
"Aerobics, high impact",0.116762624
"Aerobics, step aerobics",0.141824694
"Aerobics, general",0.108426316
Jazzercise,0.100033802
"Stretching, hatha yoga",0.066686458
Mild stretching,0.041739858
Instructing aerobic class,0.100033802
Water aerobics,0.066686458
"Ballet, twist, jazz, tap",0.075138236
"Ballroom dancing, slow",0.050016901
"Ballroom dancing, fast",0.091756759
"Running, 5 mph (12 minute mile)",0.13347699
"Running, 5.2 mph (11.5 minute mile)",0.150095513
"Running, 6 mph (10 min mile)",0.166824335
"Running, 6.7 mph (9 min mile)",0.183493891
"Running, 7 mph (8.5 min mile)",0.191841595
"Running, 7.5mph (8 min mile)",0.208570417
"Running, 8 mph (7.5 min mile)",0.22518894
"Running, 8.6 mph (7 min mile)",0.233510792
"Running, 9 mph (6.5 min mile)",0.250239614
"Running, 10 mph (6 min mile)",0.26690917
"Running, 10.9 mph (5.5 min mile)",0.300256515
"Running, cross country",0.150095513
"Running, general",0.13347699
"Running, on a track, team practice",0.166824335
"Running, stairs, up",0.250239614
"Track and field (shot, discus)",0.066686458
"Track and field (high jump, pole vault)",0.100033802
Track and field (hurdles),0.166824335
Archery,0.058409415
Badminton,0.075138236
"Basketball game, competitive",0.13347699
"Playing basketball, non game",0.100033802
"Basketball, officiating",0.116762624
"Basketball, shooting baskets",0.075138236
